,season,round,constructor,constructor_points,constructor_wins,constructor_standings_pos
119,1985,8,osella,0.0,0.0,12.0
120,1985,8,zakspeed,0.0,0.0,13.0
121,1985,8,toleman,0.0,0.0,14.0
122,1985,8,minardi,0.0,0.0,15.0
123,1985,8,spirit,0.0,0.0,16.0
124,1985,9,ferrari,56.0,1.0,1.0
125,1985,9,mclaren,38.0,3.0,2.0
126,1985,9,team_lotus,35.0,2.0,3.0
127,1985,9,williams,23.0,1.0,4.0
128,1985,9,renault,15.0,0.0,5.0
129,1985,9,brabham,14.0,1.0,6.0
130,1985,9,ligier,9.0,0.0,7.0
131,1985,9,arrows,6.0,0.0,8.0
132,1985,9,tyrrell,4.0,0.0,9.0
133,1985,9,alfa,0.0,0.0,10.0
134,1985,9,ram,0.0,0.0,11.0
135,1985,9,osella,0.0,0.0,12.0
136,1985,9,minardi,0.0,0.0,15.0
137,1985,9,zakspeed,0.0,0.0,13.0
138,1985,9,toleman,0.0,0.0,14.0
139,1985,9,spirit,0.0,0.0,16.0
140,1985,10,ferrari,65.0,2.0,1.0
141,1985,10,mclaren,46.0,3.0,2.0
142,1985,10,team_lotus,35.0,2.0,3.0
143,1985,10,williams,24.0,1.0,4.0
144,1985,10,brabham,14.0,1.0,6.0
145,1985,10,renault,15.0,0.0,5.0
146,1985,10,ligier,13.0,0.0,7.0
147,1985,10,arrows,9.0,0.0,8.0
148,1985,10,tyrrell,4.0,0.0,9.0
149,1985,10,alfa,0.0,0.0,10.0
150,1985,10,osella,0.0,0.0,12.0
151,1985,10,ram,0.0,0.0,11.0
152,1985,10,minardi,0.0,0.0,13.0
153,1985,10,zakspeed,0.0,0.0,14.0
154,1985,10,toleman,0.0,0.0,15.0
155,1985,10,spirit,0.0,0.0,16.0
156,1985,11,ferrari,72.0,2.0,1.0
157,1985,11,mclaren,55.0,4.0,2.0
158,1985,11,team_lotus,43.0,2.0,3.0
159,1985,11,williams,24.0,1.0,4.0
160,1985,11,brabham,15.0,1.0,5.0
161,1985,11,renault,15.0,0.0,6.0
162,1985,11,ligier,13.0,0.0,7.0
163,1985,11,arrows,9.0,0.0,8.0
164,1985,11,tyrrell,4.0,0.0,9.0
165,1985,11,alfa,0.0,0.0,10.0
166,1985,11,osella,0.0,0.0,11.0
167,1985,11,ram,0.0,0.0,12.0
168,1985,11,minardi,0.0,0.0,13.0
169,1985,11,zakspeed,0.0,0.0,14.0
170,1985,11,toleman,0.0,0.0,15.0
171,1985,11,spirit,0.0,0.0,16.0
172,1985,12,mclaren,70.0,5.0,2.0
173,1985,12,ferrari,75.0,2.0,1.0
174,1985,12,team_lotus,49.0,2.0,3.0
175,1985,12,williams,25.0,1.0,4.0
176,1985,12,brabham,15.0,1.0,5.0
177,1985,12,renault,15.0,0.0,6.0
178,1985,12,ligier,13.0,0.0,7.0
179,1985,12,arrows,9.0,0.0,8.0
180,1985,12,tyrrell,4.0,0.0,9.0
181,1985,12,alfa,0.0,0.0,10.0
182,1985,12,osella,0.0,0.0,11.0
183,1985,12,ram,0.0,0.0,12.0
184,1985,12,minardi,0.0,0.0,13.0
185,1985,12,zakspeed,0.0,0.0,14.0
186,1985,12,toleman,0.0,0.0,15.0
187,1985,12,spirit,0.0,0.0,16.0
188,1985,12,lola,0.0,0.0,0.0
189,1985,13,mclaren,79.0,6.0,1.0
190,1985,13,ferrari,77.0,2.0,2.0
191,1985,13,team_lotus,54.0,2.0,3.0
192,1985,13,williams,25.0,1.0,4.0
193,1985,13,brabham,24.0,1.0,5.0
194,1985,13,renault,15.0,0.0,6.0
195,1985,13,ligier,13.0,0.0,7.0
196,1985,13,arrows,9.0,0.0,8.0
197,1985,13,tyrrell,4.0,0.0,9.0
198,1985,13,alfa,0.0,0.0,10.0
199,1985,13,osella,0.0,0.0,11.0
200,1985,13,ram,0.0,0.0,12.0
201,1985,13,minardi,0.0,0.0,13.0
202,1985,13,zakspeed,0.0,0.0,14.0
203,1985,13,toleman,0.0,0.0,15.0
204,1985,13,spirit,0.0,0.0,16.0
205,1985,13,lola,0.0,0.0,17.0
206,1985,14,mclaren,83.0,6.0,1.0
207,1985,14,ferrari,77.0,2.0,2.0
208,1985,14,team_lotus,63.0,3.0,3.0
209,1985,14,williams,34.0,1.0,4.0
210,1985,14,brabham,26.0,1.0,5.0
211,1985,14,renault,16.0,0.0,6.0
212,1985,14,ligier,13.0,0.0,7.0
213,1985,14,arrows,9.0,0.0,8.0
214,1985,14,tyrrell,4.0,0.0,9.0
215,1985,14,alfa,0.0,0.0,10.0
216,1985,14,osella,0.0,0.0,11.0
217,1985,14,ram,0.0,0.0,12.0
218,1985,14,minardi,0.0,0.0,13.0
219,1985,14,zakspeed,0.0,0.0,14.0
220,1985,14,toleman,0.0,0.0,15.0
221,1985,14,spirit,0.0,0.0,16.0
222,1985,14,lola,0.0,0.0,17.0
223,1985,15,mclaren,86.0,6.0,1.0
224,1985,15,ferrari,77.0,2.0,2.0
225,1985,15,team_lotus,71.0,3.0,3.0
226,1985,15,williams,47.0,2.0,4.0
227,1985,15,brabham,26.0,1.0,5.0
228,1985,15,renault,16.0,0.0,6.0
229,1985,15,arrows,10.0,0.0,8.0
230,1985,15,ligier,13.0,0.0,7.0
231,1985,15,tyrrell,4.0,0.0,9.0
232,1985,15,alfa,0.0,0.0,10.0
233,1985,15,osella,0.0,0.0,11.0
234,1985,15,ram,0.0,0.0,12.0
235,1985,15,minardi,0.0,0.0,13.0
236,1985,15,zakspeed,0.0,0.0,14.0
237,1985,15,toleman,0.0,0.0,15.0
238,1985,15,spirit,0.0,0.0,16.0
239,1985,15,lola,0.0,0.0,17.0
240,1985,16,mclaren,90.0,6.0,1.0
241,1985,16,ferrari,80.0,2.0,2.0
242,1985,16,williams,62.0,3.0,4.0
243,1985,16,team_lotus,71.0,3.0,3.0
244,1985,16,brabham,26.0,1.0,5.0
245,1985,16,ligier,13.0,0.0,8.0
246,1985,16,renault,16.0,0.0,6.0
247,1985,16,arrows,13.0,0.0,7.0
248,1985,16,tyrrell,4.0,0.0,9.0
249,1985,16,osella,0.0,0.0,11.0
250,1985,16,minardi,0.0,0.0,13.0
251,1985,16,alfa,0.0,0.0,10.0
252,1985,16,ram,0.0,0.0,12.0
253,1985,16,zakspeed,0.0,0.0,14.0
254,1985,16,toleman,0.0,0.0,15.0
255,1985,16,spirit,0.0,0.0,16.0
256,1985,16,lola,0.0,0.0,17.0
257,1986,1,williams,0.0,0.0,0.0
258,1986,1,ligier,0.0,0.0,0.0
259,1986,1,team_lotus,0.0,0.0,0.0
260,1986,1,tyrrell,0.0,0.0,0.0
261,1986,1,benetton,0.0,0.0,0.0
262,1986,1,brabham,0.0,0.0,0.0
263,1986,1,arrows,0.0,0.0,0.0
264,1986,1,ferrari,0.0,0.0,0.0
265,1986,1,mclaren,0.0,0.0,0.0
266,1986,1,osella,0.0,0.0,0.0
267,1986,1,lola,0.0,0.0,0.0
268,1986,1,zakspeed,0.0,0.0,0.0
269,1986,1,minardi,0.0,0.0,0.0
270,1986,2,team_lotus,6.0,0.0,3.0
271,1986,2,williams,9.0,1.0,1.0
272,1986,2,ligier,7.0,0.0,2.0
273,1986,2,mclaren,0.0,0.0,9.0
274,1986,2,benetton,1.0,0.0,5.0
275,1986,2,tyrrell,2.0,0.0,4.0
276,1986,2,arrows,0.0,0.0,7.0
277,1986,2,brabham,0.0,0.0,6.0
278,1986,2,lola,0.0,0.0,11.0
279,1986,2,ferrari,0.0,0.0,8.0
280,1986,2,osella,0.0,0.0,10.0
281,1986,2,zakspeed,0.0,0.0,12.0
282,1986,2,minardi,0.0,0.0,13.0
283,1986,3,williams,15.0,1.0,2.0
284,1986,3,mclaren,7.0,0.0,4.0
285,1986,3,team_lotus,15.0,1.0,1.0
286,1986,3,benetton,4.0,0.0,5.0
287,1986,3,ligier,7.0,0.0,3.0
288,1986,3,ferrari,0.0,0.0,10.0
289,1986,3,tyrrell,2.0,0.0,6.0
290,1986,3,brabham,0.0,0.0,8.0
291,1986,3,arrows,0.0,0.0,7.0
292,1986,3,lola,0.0,0.0,9.0
293,1986,3,osella,0.0,0.0,11.0
294,1986,3,zakspeed,0.0,0.0,12.0
295,1986,3,minardi,0.0,0.0,13.0
296,1986,4,mclaren,18.0,1.0,2.0
297,1986,4,williams,21.0,1.0,1.0
298,1986,4,team_lotus,15.0,1.0,3.0
299,1986,4,ligier,7.0,0.0,5.0
300,1986,4,benetton,8.0,0.0,4.0
301,1986,4,ferrari,3.0,0.0,6.0
302,1986,4,tyrrell,2.0,0.0,7.0
303,1986,4,brabham,1.0,0.0,8.0
304,1986,4,arrows,0.0,0.0,9.0
305,1986,4,lola,0.0,0.0,10.0
